AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
30905,1220096,11/08/2018,12/29/2020,Nursing Home,ARBOR TRAIL REHAB AND SKILLED NURSING CENTER,611 TURNER CAMP RD,,INVERNESS,FL,34453,Citrus,(352) 637-1130,611 TURNER CAMP RD,,INVERNESS,FL,34453,Citrus,LICENSED,SOVEREIGN HEALTHCARE OF INVERNESS LLC,10/01/2003,KRISTINE O'LEARY,116,For-Profit,www.arbortrailrehab.com
11701,1030095,12/01/2019,02/28/2022,Nursing Home,ARCADIA HEALTH & REHABILITATION CENTER,10095 HILLVIEW ROAD,,PENSACOLA,FL,32514,Escambia,(850) 479-4000,10095 HILLVIEW ROAD,,PENSACOLA,FL,32514,Escambia,LICENSED,NF PENSACOLA MANOR LLC,12/01/2013,LINDA LANGLEY,150,For-Profit,
111303,10200961,01/01/2020,03/31/2022,Nursing Home,ARCH PLAZA NURSING & REHABILITATION CENTER,12505 NE 16TH AVE,,NORTH MIAMI,FL,33161-6019,Miami-Dade,(305) 891-1710,1800 NE 168TH ST,STE 200,N MIAMI BEACH,FL,33162-3023,Miami-Dade,LICENSED,ARCH PLAZA  INC.,01/01/2002,STEPHANIE PENA,98,Not-For-Profit,plazahealth.org
35961019,130471045,12/01/2018,02/28/2021,Nursing Home,ASTORIA HEALTH AND REHABILITATION CENTER,701 OVERLOOK DR SE,,WINTER HAVEN,FL,33884-1671,Polk,(863) 318-5000,701 OVERLOOK DR SE,,WINTER HAVEN,FL,33884-1671,Polk,LICENSED,LAKE WALES HEALTH CARE OPERATIONS COMPANY  LLC,11/04/2010,BRENDA DAVIS,120,For-Profit,www.tlcmgmt.com
70519,16420951,10/01/2018,12/29/2020,Nursing Home,ATLANTIC SHORES NURSING AND REHAB CENTER,4251 STACK BLVD,,MELBOURNE,FL,32901,Brevard,(321) 953-2219,4251 STACK BLVD,,MELBOURNE,FL,32901,Brevard,LICENSED,SOVEREIGN HEALTHCARE OF ATLANTIC SHORES  LLC,10/01/2003,AMY PATRICK-TRUMP,120,For-Profit,www.atlanticshoresrehab.com
31201,15510961,05/01/2020,04/30/2022,Nursing Home,AVALON HEALTHCARE CENTER,1270 SW MAIN BLVD,,LAKE CITY,FL,32025,Columbia,(386) 752-7900,1270 SW MAIN BLVD,,LAKE CITY,FL,32025,Columbia,LICENSED,LAKE CITY MGT  LLC,12/31/2013,NEIL RAMSKI,95,For-Profit,N/A
95024,1023095,11/07/2019,02/28/2022,Nursing Home,AVANTE AT BOCA RATON  INC.,1130 NW 15TH STREET,,BOCA RATON,FL,33486,Palm Beach,(561) 394-6282,4601 SHERIDAN ST,STE 500,HOLLYWOOD,FL,33021-3439,Broward,LICENSED,AVANTE AT BOCA RATON  INC.,12/01/1994,JERRY REMEDOR,144,For-Profit,www.avantecenters.com
30904,1024096,10/01/2018,12/29/2020,Nursing Home,AVANTE AT INVERNESS INC,304 S CITRUS AVE,,INVERNESS,FL,34452,Citrus,(352) 726-3141,4601 SHERIDAN ST,STE 500,HOLLYWOOD,FL,33021-3439,Broward,LICENSED,AVANTE AT INVERNESS  INC.,10/01/1994,ROSLYN NINVALLE,104,For-Profit,www.avantecenters.com
95017,10250961,01/04/2019,12/29/2020,Nursing Home,AVANTE AT LAKE WORTH  INC.,2501 N A ST,,LAKE WORTH,FL,33460-6013,Palm Beach,(561) 421-4041,5900 LAKE ELLENOR DR,SUITE 700A,ORLANDO,FL,32809,Orange,LICENSED,AVANTE AT LAKE WORTH  INC.,10/01/1995,PORTIA BRYANT-SURTAIN,138,For-Profit,www.avantecenters.com
33504,1026096,06/01/2020,05/31/2022,Nursing Home,AVANTE AT LEESBURG  INC,2000 EDGEWOOD AVE,,LEESBURG,FL,34748,Lake,(352) 787-3545,5900 LAKE ELLENOR DR STE 700A,,ORLANDO,FL,32809-4618,Orange,LICENSED,AVANTE AT LEESBURG  INC.,01/01/1995,RACHELLE MARIE LOMBARDI,116,For-Profit,www.avantecenters.com
70505,13360961,10/01/2018,12/29/2020,Nursing Home,AVANTE AT MELBOURNE INC,1420 SOUTH OAK STREET,,MELBOURNE,FL,32901,Brevard,(321) 723-3215,4601 SHERIDAN ST,STE 500,HOLLYWOOD,FL,33021-3439,Broward,LICENSED,AVANTE AT MELBOURNE  INC.,10/01/2000,JODY M SPINNEWEBER,110,For-Profit,www.avantecenters.com
33506,13590961,10/01/2018,12/29/2020,Nursing Home,AVANTE AT MT DORA  INC.,3050 BROWN AVE,,MOUNT DORA,FL,32757,Lake,(352) 383-4161,4601 SHERIDAN ST,STE 500,HOLLYWOOD,FL,33021-3439,Broward,LICENSED,AVANTE AT MT. DORA  INC.,10/01/2000,TASIA LEWIS,116,For-Profit,www.avantecenters.com
34204,1524096,11/06/2018,02/03/2021,Nursing Home,AVANTE AT OCALA  INC,2021 SW 1ST AVE,,OCALA,FL,34471,Marion,(352) 732-0042,4601 SHERIDAN ST,STE 500,HOLLYWOOD,FL,33021-3439,Broward,LICENSED,AVANTE AT OCALA  INC,11/15/2008,JOSEPH R WANCZYK,133,For-Profit,www.avantecenters.com
74809,1393096,06/01/2020,05/31/2022,Nursing Home,AVANTE AT ORLANDO INC.,2000 NORTH SEMORAN BOULEVARD,,ORLANDO,FL,32807,Orange,(407) 671-5400,5900 LAKE ELLENOR DR STE 700A,,ORLANDO,FL,32809-4618,Orange,LICENSED,AVANTE AT ORLANDO INC.,06/01/2000,ELLIS J WILLIAMS,118,For-Profit,www.avantecenters.com
46414,13960961,10/26/2018,12/29/2020,Nursing Home,AVANTE AT ORMOND BEACH  INC,170 N KINGS ROAD,,ORMOND BEACH,FL,32174,Volusia,(386) 677-7955,4601 SHERIDAN ST,STE 500,HOLLYWOOD,FL,33021-3440,Broward,LICENSED,AVANTE AT ORMOND BEACH  INC.,10/01/2000,JACOB S. BRUSH,133,For-Profit,www.avantecenters.com
74905,1518096,03/01/2020,05/29/2022,Nursing Home,AVANTE AT ST. CLOUD  INC.,1301 KANSAS AVE,,SAINT CLOUD,FL,34769-5999,Osceola,(407) 892-5121,5900 LAKE ELLENOR DR,STE 700,ORLANDO,FL,32809-4643,Orange,LICENSED,AVANTE AT ST. CLOUD  INC.,03/01/2003,CAROLINA ESCANDER,131,For-Profit,www.avantecenters.com
41611,10270961,08/01/2018,10/29/2020,Nursing Home,AVANTE VILLA AT JACKSONVILLE BEACH INC,1504 SEABREEZE AVE,,JACKSONVILLE BEACH,FL,32250,Duval,(904) 249-7421,4601 SHERIDAN ST,STE 500,HOLLYWOOD,FL,33021-3439,Broward,LICENSED,AVANTE VILLA AT JACKSONVILLE BEACH INC,01/01/1995,GWENDOLYN STRUNK-GAMEL,165,For-Profit,www.avantecenters.com
111316,1218095,07/01/2019,09/28/2021,Nursing Home,AVENTURA REHAB AND NURSING CENTER,1800 N E 168TH STREET,,NORTH MIAMI BEACH,FL,33162,Miami-Dade,(305) 917-1800,1800 N E 168TH STREET,,NORTH MIAMI BEACH,FL,33162,Miami-Dade,LICENSED,AVENTURA SNF LLC,07/01/2019,JENNIFER SOLIS,86,For-Profit,plazahealth.org
32101,1337096,10/01/2018,12/29/2020,Nursing Home,AYERS HEALTH AND REHABILITATION CENTER,606 NE 7TH ST,,TRENTON,FL,32693,Gilchrist,(352) 463-7101,606 NE 7TH ST,,TRENTON,FL,32693,Gilchrist,LICENSED,AYERS HEALTH & REHABILITATION CENTER LLC,04/27/2001,JOANNA BUCKLES,120,Not-For-Profit,AyersHealthandRehab.com
35960936,130470999,04/23/2020,04/22/2022,Nursing Home,BALDOMERO LOPEZ MEMORIAL VETERANS NURSING HOME,6919 PARKWAY BLVD,,LAND O LAKES,FL,34639,Pasco,(813) 558-5000,6919 PARKWAY BLVD,,LAND O LAKES,FL,34639,Pasco,LICENSED,FLORIDA DEPARTMENT OF VETERAN'S AFFAIRS,04/23/1999,MARLIES SARRETT,120,Not-For-Profit,www.floridavets.org
35960939,130471002,02/01/2020,05/01/2022,Nursing Home,BARDMOOR OAKS HEALTHCARE AND REHABILITATION CENTER,9035 BRYAN DAIRY RD,,LARGO,FL,33777-1104,Pinellas,(727) 395-9619,1040 CROWN POINTE PKWY,STE 600,ATLANTA,GA,30338-4741,,LICENSED,9035 BRYAN DAIRY ROAD OPERATIONS LLC,02/01/2012,MIKI C STATE,158,For-Profit,www.consulatehealthcare.com
95041,1616096,08/09/2019,11/06/2021,Nursing Home,BARRINGTON TERRACE OF BOYNTON BEACH,1425 S CONGRESS AVE,,BOYNTON BEACH,FL,33426-6381,Palm Beach,(561) 369-7919,400 CENTRE ST,,NEWTON,MA,02458-2094,,LICENSED,SNH SE BARRINGTON BOYNTON TENANT LLC,08/09/2011,ROBERT GROSSMAN,29,For-Profit,www.barringtonterrace-bb.com
65301,1032096,04/01/2019,06/29/2021,Nursing Home,BARTOW CENTER,2055 E GEORGIA ST,,BARTOW,FL,33830,Polk,(863) 533-0578,2055 E GEORGIA ST,,BARTOW,FL,33830,Polk,LICENSED,BARTOW REHABILITATION CENTER  LLC,04/01/2009,RANYOURI SENIA,120,Not-For-Profit,bartowcenter.com
45502,1521096,08/30/2020,08/29/2022,Nursing Home,BARTRAM CROSSING,6209 BROOKS BARTRAM DRIVE,BUILDING 100,JACKSONVILLE,FL,32258,Duval,(904) 528-3000,3599 UNIVERSITY BLVD S,ATTN: MANAGED CARE,JACKSONVILLE,FL,32216-4252,Duval,LICENSED,BROOKS SKILLED NURSING FACILITY A INC,06/01/2010,MARIA INTERIANO,100,Not-For-Profit,www.Brooksrehab.org
85804,1223096,02/01/2020,05/01/2022,Nursing Home,BAY BREEZE HEALTH AND REHABILITATION CENTER,1026 ALBEE FARM RD,,VENICE,FL,34285-6213,Sarasota,(941) 484-0425,1026 ALBEE FARM RD,,VENICE,FL,34285-6213,Sarasota,LICENSED,1026 ALBEE FARM ROAD OPERATIONS LLC,02/01/2012,TAMMY J TOLLEY-HUNT,120,For-Profit,www.consulatehealthcare.com
15701,1033096,01/01/2020,03/31/2022,Nursing Home,BAY BREEZE SENIOR LIVING AND REHABILITATION CENTER,3387 GULF BREEZE PARKWAY,,GULF BREEZE,FL,32563,Santa Rosa,(850) 932-9257,3387 GULF BREEZE PARKWAY,,GULF BREEZE,FL,32563,Santa Rosa,LICENSED,FL HUD BAYBREEZE  LLC,01/01/2010,JUSTIN GIBSON,120,For-Profit,
55204,10360962,10/04/2019,06/30/2020,Nursing Home,BAY POINTE NURSING PAVILION,4201 31ST ST S,,SAINT PETERSBURG,FL,33712,Pinellas,(727) 867-1104,4201 31ST ST S,,SAINT PETERSBURG,FL,33712,Pinellas,LICENSED,FI - BAY POINTE  LLC,07/01/2003,CYNTHIA ANN FITZPATRICK,120,Not-For-Profit,Baypointenursingpavilion.com
55206,10390964,05/06/2020,01/29/2022,Nursing Home,BAY TREE CENTER,2600 HIGHLANDS BLVD N,,PALM HARBOR,FL,34684-2114,Pinellas,7277855671,2600 HIGHLANDS BLVD N,,PALM HARBOR,FL,34684-2114,Pinellas,LICENSED,2600 HIGHLANDS BOULEVARD NORTH LLC,11/01/2001,GLENDA LYNN,120,For-Profit,www.Genesishcc.com
85826,10400961,07/01/2018,09/28/2020,Nursing Home,BAY VILLAGE OF SARASOTA,8400 VAMO ROAD,,SARASOTA,FL,34231,Sarasota,(941) 966-5611,8400 VAMO ROAD,,SARASOTA,FL,34231,Sarasota,LICENSED,BAY VILLAGE OF SARASOTA INC,01/12/1972,JENNIFER LYNN GRIMES,95,Not-For-Profit,www.bayvillage.org
64101,1330096,06/12/2019,09/09/2021,Nursing Home,BAY VUE NURSING AND REHABILITATION CENTER,105 15TH ST E,,BRADENTON,FL,34208,Manatee,(941) 747-8681,105 15TH ST E,,BRADENTON,FL,34208,Manatee,LICENSED,RIVERFRONT ACQUISITION I  LLC,06/12/2015,DAVID R. ANTHONY,110,For-Profit,
31204,12700961,08/01/2019,10/29/2021,Nursing Home,BAYA POINTE NURSING AND REHABILITATION CENTER,587 SE ERMINE AVE,,LAKE CITY,FL,32025,Columbia,(386) 752-7800,587 SE ERMINE AVE,,LAKE CITY,FL,32025,Columbia,LICENSED,BAYA NURSING AND REHABILITATION  LLC,08/01/2013,JOANN E GNEWUCH,90,For-Profit,www.consulatehealthcare.com
62902,10410962,12/01/2019,02/28/2022,Nursing Home,BAYSHORE POINTE NURSING AND REHAB CENTER,3117 W GANDY BLVD,,TAMPA,FL,33611-2927,Hillsborough,(813) 261-5500,3117 W GANDY BLVD,,TAMPA,FL,33611-2927,Hillsborough,LICENSED,SOVEREIGN HEALTHCARE OF TAMPA LLC,12/01/2003,JASON DUPLANTIS,117,For-Profit,www.bayshorepointerehab.com
55259,1250095,12/01/2019,02/28/2022,Nursing Home,BAYSIDE CARE CENTER,811 JACKSON ST N,,SAINT PETERSBURG,FL,33705,Pinellas,(727) 209-1717,811 JACKSON ST N,,SAINT PETERSBURG,FL,33705,Pinellas,LICENSED,BAYSIDE FACILITY INC,12/01/2015,SUSAN P DUFRESNE,92,For-Profit,www.bayside-cc.com
11702,1053096,01/01/2020,03/31/2022,Nursing Home,BAYSIDE HEALTH AND REHABILITATION CENTER,4343 LANGLEY AVENUE,,PENSACOLA,FL,32504,Escambia,(850) 430-3300,4343 LANGLEY AVENUE,,PENSACOLA,FL,32504,Escambia,LICENSED,FL HUD BAYSIDE  LLC,01/01/2010,MARIO CHRISTOFIDES,120,For-Profit,
33507,1382096,05/01/2020,04/30/2022,Nursing Home,BAYVIEW CENTER,301 S BAY ST,,EUSTIS,FL,32726,Lake,(352) 357-8105,301 S BAY ST,,EUSTIS,FL,32726,Lake,LICENSED,BAYVIEW CENTER  LLC,05/01/2003,DANIEL GEORGE CLEAVER,120,For-Profit,www.opismr.com
55247,15310961,01/10/2019,04/09/2021,Nursing Home,BAYWOOD CARE CENTER,2000 17TH AVE S,,SAINT PETERSBURG,FL,33712,Pinellas,(727) 821-3544,2000 17TH AVE S,,SAINT PETERSBURG,FL,33712,Pinellas,INACTIVE,BAYWOOD FACILITY INC,11/01/2018,IVANA R KIRBY,59,Not-For-Profit,www.baywoodcare.com
55101,10460962,10/01/2018,12/29/2020,Nursing Home,BEAR CREEK NURSING CENTER,8041 STATE RD 52,,HUDSON,FL,34667-6726,Pasco,(727) 863-5488,8041 STATE RD 52,,HUDSON,FL,34667-6726,Pasco,LICENSED,BEAR CREEK NURSING CENTER  LLC,05/02/2001,ANNA-MARIE OWENS-WICKER,120,Not-For-Profit,Bearcreeknursingcenter.com
55208,10480962,12/01/2019,02/28/2022,Nursing Home,BELLEAIR HEALTH CARE CENTER,1150 PONCE DE LEON BLVD,,CLEARWATER,FL,33756,Pinellas,(727) 585-5491,1150 PONCE DE LEON BLVD,,CLEARWATER,FL,33756,Pinellas,LICENSED,BELLEAIR EAST HCC  LLC,12/01/2003,NICHOLAS EGNATZ,120,For-Profit,www.belleaireastrehab.com
35961033,130471046,03/04/2018,06/01/2021,Nursing Home,BENDERSON FAMILY SKILLED NURSING AND REHABILITATION CENTER,1959 N HONORE AVE,,SARASOTA,FL,34235,Sarasota,(941) 379-3553,1959 N HONORE AVE,,SARASOTA,FL,34235,Sarasota,LICENSED,SARASOTA MANATEE JEWISH HOUSING COUNCIL  INC.,03/04/2011,TERESA M MARTIN,45,Not-For-Profit,www.avivaseniorlife.org
85801,1049096,02/01/2020,05/01/2022,Nursing Home,BENEVA LAKES HEALTHCARE AND REHABILITATION CENTER,741 SOUTH BENEVA ROAD,,SARASOTA,FL,34232,Sarasota,(941) 957-0310,741 SOUTH BENEVA ROAD,,SARASOTA,FL,34232,Sarasota,LICENSED,741 SOUTH BENEVA ROAD OPERATIONS LLC,02/01/2012,JONATHAN PATRICK LADEHOFF,120,For-Profit,www.consulatehealthcare.com
81107,1050095,12/01/2019,02/28/2022,Nursing Home,BENTLEY CARE CENTER,875 RETREAT DRIVE,,NAPLES,FL,34110,Collier,(239) 431-2100,875 RETREAT DRIVE,,NAPLES,FL,34110,Collier,LICENSED,CC - NAPLES  INC.,06/23/1992,MICHELE BAIN,100,For-Profit,https://naples.viliving.com/immediate-care
46419,1052096,11/01/2018,01/29/2021,Nursing Home,BISHOPS GLEN RETIREMENT CENTER,900 LPGA BLVD,,HOLLY HILL,FL,32117-3100,Volusia,(386) 226-9000,911 N STUDEBAKER RD,,LONG BEACH,CA,90815-4900,,LICENSED,HOLLY HILL RHF HOUSING INC,01/01/1988,RONALD M HOLLERAND,60,Not-For-Profit,www.rhf.org
35960874,1652096,05/08/2020,06/29/2021,Nursing Home,BLOUNTSTOWN HEALTH AND REHABILITATION CENTER,16690 SW CHIPOLA RD,,BLOUNTSTOWN,FL,32424,Calhoun,(850) 674-4311,16690 SW CHIPOLA RD,,BLOUNTSTOWN,FL,32424,Calhoun,CONDITIONAL,REGENCY CARE OF BLOUNTSTOWN LLC,04/01/2011,THOMAS L MCDANIEL,96,For-Profit,www.blountstownhealthandrehab.com
55225,11890961,04/01/2019,06/29/2021,Nursing Home,BOCA CIEGA CENTER,1414 59TH ST S,,GULFPORT,FL,33707,Pinellas,(727) 344-4608,1414 59TH ST S,,GULFPORT,FL,33707,Pinellas,LICENSED,BOCA CIEGA REHABILITATION LLC,04/01/2009,NIKI HOOD,120,Not-For-Profit,Bocaciegacenter.com
95003,1054096,07/01/2020,09/28/2022,Nursing Home,BOCA RATON REHABILITATION CENTER,755 MEADOWS ROAD,,BOCA RATON,FL,33486,Palm Beach,(561) 391-5200,755 MEADOWS ROAD,,BOCA RATON,FL,33486,Palm Beach,LICENSED,FI - BOCA RATON  LLC,07/01/2003,JACOB VANCE BLEVINS,120,Not-For-Profit,www.bocaratonhealthandrehab.com
55232,1055096,05/01/2020,04/30/2022,Nursing Home,BON SECOURS MARIA MANOR NURSING CARE CENTER,10300 4TH ST N,,SAINT PETERSBURG,FL,33716,Pinellas,(727) 568-1000,10300 4TH ST N,,SAINT PETERSBURG,FL,33716,Pinellas,LICENSED,BON SECOURS MARIA MANOR NURSING CARE CENTER  LLC,01/01/1994,KATHLEEN WALSH,274,Not-For-Profit,www.bonsecoursstpete.org
22302,10570961,10/01/2018,12/29/2020,Nursing Home,BONIFAY NURSING AND REHAB CENTER,306 WEST BROCK AVENUE,,BONIFAY,FL,32425,Holmes,(850) 547-9289,306 WEST BROCK AVENUE,,BONIFAY,FL,32425,Holmes,LICENSED,SOVEREIGN HEALTHCARE OF BONIFAY  LLC,10/01/2003,GLORYANA ELIZABETH WEBB,180,For-Profit,www.bonifayrehab.com
95004,1058096,08/15/2019,12/29/2020,Nursing Home,BOULEVARD REHABILITATION CENTER,2839 S SEACREST BLVD,,BOYNTON BEACH,FL,33435-7994,Palm Beach,(561) 732-2464,101 SUNNYTOWN RD,STE 201,CASSELBERRY,FL,32707-3862,Seminole,LICENSED,SOVEREIGN HEALTHCARE OF WEST PALM BEACH  LLC,10/01/2003,DONNA-LEE FABIAN,167,For-Profit,www.boulevardmanorrehab.com
